File,Subjects,Keywords,Cited-by-count
202202161.json,AGRI;VETE;BIOC,Microencapsulation;Basil Oil;Performance;Broiler Chicken;Antioxidant Capacity;Gut Morphology,2
202202531.json,MEDI,care delivery;neurocritical care;resources;COVID-19;pandemic;SARS-Cov-2,2
202203770.json,NEUR,Partial Least Squares (PLS) analysis;neurocognition;cognitive disorders;Alzheimer’s disease;Mild cognitive impairment,0
202202862.json,PHYS,,0
202203320.json,MEDI,Cardiorespiratory function;Bra;Metabolism,0
202201608.json,AGRI,tropical rainforest;Ichneumonoidea;insect-fruit association;Neotropics;phytophagy,1
202203635.json,AGRI;EART,Japan;parasitoid wasp;DNA sequences;cytochrome b;mitochondrial genes;molecular analysis;COI;16S;Oriental,1
202202927.json,MULT,,2
202201258.json,ENGI;ENER;MATE,Biomedical;Energy harvesters;Smart materials;Healthcare;Piezoelectricity,46
202203265.json,COMP,quality identification;gridmask;bolt looseness;faster r-cnn;object detection;bolted joint,0
202202024.json,MEDI,Coronavirus disease 2019;Myelin oligodendrocyte glycoprotein;Severe acute respiratory syndrome coronavirus 2;Optic neuritis,11
202200019.json,EART,biomarker;shale gas;Khorat Plateau;source rock;carbon storage,1
202202474.json,MULT,Local dependence;Normal approximation;Call function;Uniform bound;Stein's method,0
202200449.json,MEDI,Genetic polymorphisms;Hyperbilirubinemia;UGT1A1;SLCO1B1;Neonates,1
202201171.json,SOCI;ENER;ENGI;COMP;ENVI,hyperparameters;sustainable safety of pedestrians;Bayesian optimization algorithm;road-crash-related pedestrian fatalities,4
202201521.json,SOCI,Well-being;Mediation analysis;HILDA;Physical health;Life satisfaction,6
202201872.json,ENER;CENG;ENVI;MATE,renewable materials;lignin;bioplastics;adipic acid;thermosets,6
202200760.json,BIOC;CENG;IMMU,Acacetin;miR-155;FOXO1;Bacillus cereus protease;Doxorubicin;SIRT1,3
202200330.json,MULT,,1
202201937.json,AGRI;VETE,testosterone;insulin−like growth factor−1;biomarker;semen parameters;Asian elephants;ELISA,0
202200625.json,AGRI;ENVI,shading;anticipated performance index;air pollution tolerance;ecosystem services,1
202202618.json,PHYS;MATE;CHEM,Electromechanical properties;Ionic liquid;Ionogel;Agarose;Actuation,3
202200275.json,MULT,,6
202202248.json,CHEM,Smartphone;Sensors;Heavy metals;Screen-printed electrode;Near-field communication;Differential pulse voltammetry,3
202203009.json,ENER;EART,Viscosity;Adsorption;Nanoparticles;Ultralow interfacial tension foam;Surfactant,7
202201034.json,MEDI,Community support;Self-care behavior;Families;Illness perception;Diabetes patients,0
202204236.json,MATH,CDO;locally dependent CDO;Stein-Chen’s method,2
202203459.json,MEDI,physical function limitation;HIV;physical function;gay and bisexual;Australia;men;aging;physical,0
202201464.json,CENG;ENVI,Biogas;Methane decomposition;Carbon nanotubes;Hydrogen;Dry reforming,7
202204148.json,IMMU;MEDI,Tryptases;Children;Food hypersensitivity;Allergy;Anaphylaxis,2
202203377.json,SOCI,,0
