title,query_subject,subjects,keywords,cited_by
Women’s entrepreneurial identity: Insights from agriculturally intensive small island economy,AGRI,Unknown,None,0
A multi-objective robust scenario-based stochastic chance constrained programming model for sustainable closed-loop agri-food supply chain,AGRI,Unknown,None,0
Changes in the structure and barrier properties induced by corona atmospheric plasma process applied on wet gelatin layers for packaging film applications,AGRI,Unknown,None,0
Enhanced powder characteristics of succinic acid through crystallization techniques for food industry application,AGRI,Unknown,None,0
"Valorisation of hop leaves for their bioactive compounds: Identification and quantification of phenolics across different varieties, crop years and stages of development.",AGRI,Unknown,None,0
The peculiar role of copper in the saccharides hydrogenation in aqueous phase,AGRI,Unknown,None,0
"Propagation guide for Salicornia s. l. (Amaranthaceae, Magnoliophyta): A review focused on North American species",AGRI,Unknown,None,0
"Tissue engineering in the agri-food industry: current status, socio-economic overview and regulatory compliance",AGRI,Unknown,None,0
"Bridging the gap: exploring consumer knowledge, perceptions, and willingness to pay for aquaponics products across the UK",AGRI,Unknown,None,0
Water-soluble stimuli-responsive supramolecular nanoagrochemicals based on macrocycle compounds,AGRI,Unknown,None,0
An arthropod-based assessment of biological soil quality in winter wheat fields across Hungary,AGRI,Unknown,None,0
"Riparian buffer strips promote biomass, species richness and abundance of flying insects in agricultural landscapes",AGRI,Unknown,None,0
Quantifying the environmental fate and source of nitrate contamination using dual-isotope tracing coupled with nitrogen cascade model on the basin scale,AGRI,Unknown,None,0
Advances in enhancement-type signal tracers and analysis strategies driven Lateral flow immunoassay for guaranteeing the agri-food safety,AGRI,Unknown,None,0
Securing food authenticity by translating triacylglycerol profiles of edible oils into a versatile identification method for pumpkin seed oil adulteration,AGRI,Unknown,None,0
Fire safe and sustainable lightweight materials based on Layer-by-Layer coated keratin fibers from tannery wastes,AGRI,Unknown,None,2
Demo of the Agri-RO5 Architecture for Agrirobot Fleet Simulation,AGRI,Unknown,None,0
Comprehensive analysis and experimental study on the novel intermittent solar-electric onion drying technology,AGRI,Unknown,None,0
BLOCKCHAIN IN RESILIENT AND LEAGILE SUPPLY CHAINS: RESEARCH THEMES AND OPPORTUNITIES,AGRI,Unknown,None,0
Quality control of agricultural products using magnetic resonance sensors,AGRI,Unknown,None,0
Linking the Path to Zero Hunger: Analysing Sustainable Development Goals Within the Context of Global Sustainability,AGRI,Unknown,None,0
Reducing fertilizer and pesticide application through mandatory agri-environmental regulation: Insights from “Two Zero” policy in China,AGRI,Unknown,None,0
"The Change towards the Integration of Agri-environmental Practices (CIAEP) into farmer's practices system: An affective, cognitive, and behavioural process",AGRI,Unknown,None,0
Development of Digital Capabilities for E-commerce Agribusiness: An Exploratory Research,AGRI,Unknown,None,0
The Water-Land-Food nexus reveals growing resource export pressure in middle-income economies,AGRI,Unknown,None,0
Lab-scale biocomposite manufacturing: Exploring rice bran-based bioplastics reinforced with natural fillers through extrusion and injection molding,AGRI,Unknown,None,0
"11th Workshop on Engineering Applications, WEA 2024",AGRI,Unknown,None,0
Optimization Models for the Development of the Agricultural Sector in Rural Territories,AGRI,Unknown,None,0
Simulation Model for the Strategic Analysis of a Cassava Starch Production Company: A Case Study,AGRI,Unknown,None,0
"11th Workshop on Engineering Applications, WEA 2024",AGRI,Unknown,None,0
The Role of Consumers in the Honey Supply Chain,AGRI,Unknown,None,0
"Location Model of Rural Centers as Logistical Support of the Agri-Food Supply Chain in the Sabanas Subregion, Department of Sucre",AGRI,Unknown,None,0
