title,subjects,keywords,cited_by
Women’s entrepreneurial identity: Insights from agriculturally intensive small island economy,Unknown,None,0
A multi-objective robust scenario-based stochastic chance constrained programming model for sustainable closed-loop agri-food supply chain,Unknown,None,0
Changes in the structure and barrier properties induced by corona atmospheric plasma process applied on wet gelatin layers for packaging film applications,Unknown,None,0
Enhanced powder characteristics of succinic acid through crystallization techniques for food industry application,Unknown,None,0
"Valorisation of hop leaves for their bioactive compounds: Identification and quantification of phenolics across different varieties, crop years and stages of development.",Unknown,None,0
The peculiar role of copper in the saccharides hydrogenation in aqueous phase,Unknown,None,0
"Propagation guide for Salicornia s. l. (Amaranthaceae, Magnoliophyta): A review focused on North American species",Unknown,None,0
"Tissue engineering in the agri-food industry: current status, socio-economic overview and regulatory compliance",Unknown,None,0
"Bridging the gap: exploring consumer knowledge, perceptions, and willingness to pay for aquaponics products across the UK",Unknown,None,0
Water-soluble stimuli-responsive supramolecular nanoagrochemicals based on macrocycle compounds,Unknown,None,0
An arthropod-based assessment of biological soil quality in winter wheat fields across Hungary,Unknown,None,0
"Riparian buffer strips promote biomass, species richness and abundance of flying insects in agricultural landscapes",Unknown,None,0
Quantifying the environmental fate and source of nitrate contamination using dual-isotope tracing coupled with nitrogen cascade model on the basin scale,Unknown,None,0
Advances in enhancement-type signal tracers and analysis strategies driven Lateral flow immunoassay for guaranteeing the agri-food safety,Unknown,None,0
Securing food authenticity by translating triacylglycerol profiles of edible oils into a versatile identification method for pumpkin seed oil adulteration,Unknown,None,0
Fire safe and sustainable lightweight materials based on Layer-by-Layer coated keratin fibers from tannery wastes,Unknown,None,2
Demo of the Agri-RO5 Architecture for Agrirobot Fleet Simulation,Unknown,None,0
Comprehensive analysis and experimental study on the novel intermittent solar-electric onion drying technology,Unknown,None,0
BLOCKCHAIN IN RESILIENT AND LEAGILE SUPPLY CHAINS: RESEARCH THEMES AND OPPORTUNITIES,Unknown,None,0
Quality control of agricultural products using magnetic resonance sensors,Unknown,None,0
Linking the Path to Zero Hunger: Analysing Sustainable Development Goals Within the Context of Global Sustainability,Unknown,None,0
Reducing fertilizer and pesticide application through mandatory agri-environmental regulation: Insights from “Two Zero” policy in China,Unknown,None,0
"The Change towards the Integration of Agri-environmental Practices (CIAEP) into farmer's practices system: An affective, cognitive, and behavioural process",Unknown,None,0
Development of Digital Capabilities for E-commerce Agribusiness: An Exploratory Research,Unknown,None,0
The Water-Land-Food nexus reveals growing resource export pressure in middle-income economies,Unknown,None,0
Lab-scale biocomposite manufacturing: Exploring rice bran-based bioplastics reinforced with natural fillers through extrusion and injection molding,Unknown,None,0
"11th Workshop on Engineering Applications, WEA 2024",Unknown,None,0
Optimization Models for the Development of the Agricultural Sector in Rural Territories,Unknown,None,0
Simulation Model for the Strategic Analysis of a Cassava Starch Production Company: A Case Study,Unknown,None,0
"11th Workshop on Engineering Applications, WEA 2024",Unknown,None,0
The Role of Consumers in the Honey Supply Chain,Unknown,None,0
"Location Model of Rural Centers as Logistical Support of the Agri-Food Supply Chain in the Sabanas Subregion, Department of Sucre",Unknown,None,0
Εnvironmental Impact Assessment in the Wine Supply Chain. Empirical Study in an Organic Winery in the Island of Tinos,Unknown,None,0
Multilevel analysis of land reallocation and carbon emissions through food trade,Unknown,None,0
An improved lightweight ConvNeXt for rice classification,Unknown,None,0
"Consumers' attitudes, perceptions and willingness to try hazelnut skins-fed beef",Unknown,None,0
Assimilating FY-4A AGRI Data Based on a WRF-GSI NWP System and Its Impact on Precipitation Forecasts,Unknown,None,0
"International Hydropower Development Conference, IHDC 2024",Unknown,None,0
"Are agri-environmental schemes doing their job? Evidence from Biebrza National Park, Poland",Unknown,None,0
Modeling and Simulation Analysis of Food Delivery Network in the Local Food Supply Chain with Multiple-Channel Multi-Objective Fresh Food Distribution,Unknown,None,0
Pheno- and genotypic epidemiological characterization of Staphylococcus aureus isolated from bulk tank milk in Colombia,Unknown,None,0
Multi-timescale collaborative operation of renewable energy-based power system and Agri-product supply chain considering dynamic energy consumption-based crop growth,Unknown,None,0
The structure–function relationships and techno-functions of β-conglycinin,Unknown,None,0
"Corn silk as an underutilized sustainable source of plant proteins: Extraction, fractionation, structure, and techno-functional properties",Unknown,None,0
Successful combination of lactic acid bacteria and yeast fermentation and enzymatic treatment to re-cycle industrial bread by-products for bread making,Unknown,None,0
Polyhydroxyalkanoates production from cheese whey under near-seawater salinity conditions,Unknown,None,0
Information sharing and trust in organic agri-food chains,Unknown,None,0
Trust and Supply Chains: Information Asymmetry in the Agri-Food Sector,Unknown,None,0
