,title,cited_by_count,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
0,Women’s entrepreneurial identity: Insights from agriculturally intensive small island economy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A multi-objective robust scenario-based stochastic chance constrained programming model for sustainable closed-loop agri-food supply chain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Changes in the structure and barrier properties induced by corona atmospheric plasma process applied on wet gelatin layers for packaging film applications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Enhanced powder characteristics of succinic acid through crystallization techniques for food industry application,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Valorisation of hop leaves for their bioactive compounds: Identification and quantification of phenolics across different varieties, crop years and stages of development.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The peculiar role of copper in the saccharides hydrogenation in aqueous phase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Propagation guide for Salicornia s. l. (Amaranthaceae, Magnoliophyta): A review focused on North American species",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Tissue engineering in the agri-food industry: current status, socio-economic overview and regulatory compliance",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bridging the gap: exploring consumer knowledge, perceptions, and willingness to pay for aquaponics products across the UK",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Water-soluble stimuli-responsive supramolecular nanoagrochemicals based on macrocycle compounds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,An arthropod-based assessment of biological soil quality in winter wheat fields across Hungary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
